NO,Title.of.Program,LOCATION,Executing.Firm,CONSULTANT,Start.Date,Anticipated.Completion.Date,Contract.Sum,Funding.Sources,Status.of.Project,,,,,,,,,,,,,,,,
615.   ,Gravelling works on Nii Abbey Street (Ch 0+500-0+600),Darkuman,Messrs Latima Company Ltd./Syndicated Capital Finance,Metro Roads Department,"Wednesday, October 13, 2021",3 Months,"20,457.00",Road Fund,Completed,,,,,,,,,,,,,,,,
616.   ,Gravelling of Afadjato road (330M)-Ablekuma Central,Laterbiokorshie,Messrs Man Akpak Enterprise,Metro Roads Department,"Wednesday, October 13, 2021",3 Months,"46,208.60",Road Fund,Completed,,,,,,,,,,,,,,,,
617.   ,Surfacing works on Kotopon Street  (Chainage 0+000-0+140) Okaikoi South,Okaikoi South,Messrs Ansema Ghana Limited,Metro Roads Department,"Tuesday, June 14, 2011",3 Months,"49,866.01",Road Fund,Completed,,,,,,,,,,,,,,,,
618.   ,Surfacing works on Kotopon Street  (Chainage 0+420-0+560) Okaikoi South,Okaikoi South,Messrs Ansema Ghana Limited,Metro Roads Department,"Tuesday, June 14, 2011",3 Months,"49,866.01",Road Fund,Completed,,,,,,,,,,,,,,,,
619.   ,Surfacing works on Kotopon Street  (Chainage 0+140-0+280) Okaikoi South,Okaikoi South,Messrs Ansema Ghana Limited,Metro Roads Department,"Tuesday, June 14, 2011",3 Months,"49,866.01",Road Fund,Completed,,,,,,,,,,,,,,,,
620.   ,Gravelling works on Nii Abbey Street (Ch 0+000-0+250),Darkuman,Messrs Latima Company Ltd./Syndicated Capital Finance,Metro Roads Department,"Wednesday, October 13, 2021",3 Months,"49,880.00",Road Fund,Completed,,,,,,,,,,,,,,,,
621.   ,Gravelling works on Nii Boi Maclean- Dansoman(Chainage 0+000-0+450),Mamprobi,Messrs Tamdag,Metro Roads Department,"Friday, June 14, 2024",3 Months,"48,853.30",Road Fund,Completed,,,,,,,,,,,,,,,,
622.   ,Gravelling works on Nii Abbey Street (Ch 0+250-0+500),Darkuman,Messrs Latima Company Ltd./Syndicated Capital Finance,Metro Roads Department,"Wednesday, October 13, 2021",3 Months,"49,880.00",Road Fund,Completed,,,,,,,,,,,,,,,,
623.   ,Gravelling works Nii Amontia Street and Link. Okaikoi South (Chainage 0+300-0+600),Okaikoi South,Messrs Hoss Limited,Metro Roads Department,"Saturday, November 13, 2021",3 Months,"49,465.00",Road Fund,Completed,,,,,,,,,,,,,,,,
624.   ,Gravelling of Ebony Cresent (Ch 0+000-0+350),Pig Farm,"Messrs Sanfracisco Carp., Const. & Trading Co. Ltd",Metro Roads Department,"Sunday, November 13, 2005",3 Months,"49,941.88",Road Fund,Completed,,,,,,,,,,,,,,,,
625.   ,Gravelling works on 2nd Street Adom Avenue (Ch 0+000-0+350)-West Legon-Ayawaso West –(Relocation to K. Asante Avenue (0+350-0+700) West Legon,West Legon,Messrs Luluna Limited,Metro Roads Department,"Thursday, July 14, 2016",3 Months,"49,505.50",Road Fund,Completed,,,,,,,,,,,,,,,,
626.   ,Gravelling works on MKOGH Bridge Street – West Legon – Ayawaso West (Relocated to MKOGH Bridge Street Ch 0+000-0+350),West Legon,Messes Luluna Limited,Metro Roads Department,"Thursday, July 14, 2016",3 Months,"49,233.65",Road Fund,Completed,,,,,,,,,,,,,,,,
627.   ,Gravelling works on MKOGH Street & Links (Ch 0+000-0+350) West Legon-Ayawaso West,West Legon,Messrs Luluna Limited,Metro Roads Department,"Thursday, July 14, 2016",3 Months,"49,621.10",Road Fund,Completed,,,,,,,,,,,,,,,,
628.   ,"Routine Maintenance works along Abossey Okai Road (RHS) for the month of January, 2015",Abossey Okai,Messrs Dantoz Ent,Metro Roads Department,-,-,"6,795.00",Road Fund,Completed,,,,,,,,,,,,,,,,
629.   ,"Routine maintenance works along Abossey Okai Road (RHS) for the Month of December, 2014",Abossey Okai,Messrs Dantoz Ent,Metro Roads Department,-,-,"6,795.00",Road Fund,Completed,,,,,,,,,,,,,,,,
630.   ,Surfacing works on Kwaku Bani Street (Chainage 0+180-0+360),Ayawaso Central,Messrs Sasecom Ltd,Metro Roads Department,"Tuesday, April 14, 2026",3 Months,"42,851.04",Road Fund,Completed,,,,,,,,,,,,,,,,
631.   ,Surfacing works on Kwaku Bani Street (Chainage 0+000-0+180),Ayawaso Central,Messrs Sasecom Ltd,Metro Roads Department,"Tuesday, April 14, 2026",3 Months,"42,851.04",Road Fund,Completed,,,,,,,,,,,,,,,,
632.   ,Resealing of Aviation road extension (0+900-1+200)-Roman Ridge (AMRD/PM/PQ/VOL.4/2014/199),Roman Ridge,Messrs Rokaba Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Monday, January 15, 2007","49,173.60",Road Fund,Completed,,,,,,,,,,,,,,,,
633  ,Resealing of Manu Avenue (Chainage 0365-0+596.1)-Ayawaso West Wuogon Contract No: AMRD/PM/PQ/VOL.7/2014/198,West Legon,Messrs Amandarich Enterprise,Metro Roads Department,"Friday, December 14, 2018","Friday, January 15, 2021","33,002.97",Road Fund,Completed,,,,,,,,,,,,,,,,
634  ,Resealing of Aviation road extension (0+300-0+600)-Roman Ridge (AMRD/PM/PQ/VOL.4/2014/197),Roman Ridge,Messrs Reloboto Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Monday, January 15, 2007","49,173.60",Road Fund,Completed,,,,,,,,,,,,,,,,
635  ,Resealing of Aviation road extension (0+900-1+200)-Roman Ridge (AMRD/PM/PQ/VOL.4/2014/198),Roman Ridge,Messrs Rokaba Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Monday, January 15, 2007","49,173.60",Road Fund,Completed,,,,,,,,,,,,,,,,
636  ,Resealing of Aviation road extension (0+000-0+300)-Roman Ridge (AMRD/PM/PQ/VOL.4/2014/196),Roman Ridge,Messrs Reloboto Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Monday, January 15, 2007","49,173.60",Road Fund,Completed,,,,,,,,,,,,,,,,
637  ,Gravellig works along Nii Amontia Street and Link-Okaikoi South (Chainage 0+000-0+300),Bubuashie,Messrs Gub Kati Construction Works Limited,Metro Roads Department,"Sunday, May 13, 2029","Saturday, February 13, 2010","49,465.00",Road Fund,Completed,,,,,,,,,,,,,,,,
638  ,Paving works on Nima Station Road (Ch 0+040-0+080,Nima Ayawaso East,Messrs Adinani Company Limited,Metro Roads Department,"Saturday, July 14, 2007","Friday, November 14, 2003","49,972.85",Road Fund,Completed,,,,,,,,,,,,,,,,
639  ,Paving works on Nima Station Road (Ch 0+000-0+040,Nima Ayawaso East,Messrs Adinani Company Limited,Metro Roads Department,"Saturday, July 14, 2007","Friday, November 14, 2003","49,972.85",Road Fund,Completed,,,,,,,,,,,,,,,,
640  ,Paving works on Nima Station Road (Ch 0+080-0+120,Nima Ayawaso East,Messrs Adinani Company Limited,Metro Roads Department,"Saturday, July 14, 2007","Friday, November 14, 2003","49,972.85",Road Fund,Completed,,,,,,,,,,,,,,,,
641  ,Paving works on Nima Station Road (Ch 0+120-0+160,Nima Ayawaso East,Messrs Adinani Company Limited,Metro Roads Department,"Saturday, July 14, 2007","Friday, November 14, 2003","49,972.85",Road Fund,Completed,,,,,,,,,,,,,,,,
642  ,Surfacing of Kusia Road (Ch 0+000-0+150) East Legon AMRD/LA/VOL.3/13/131,Ayawaso West,Messrs Rozarre Limited,Metro Roads Department,"Sunday, November 13, 2005","Friday, February 14, 2014","49,612.50",Road Fund,Completed,,,,,,,,,,,,,,,,
643  ,Surfacing of Heaven Gate Road (Ch 0+150-0+300) East Legon AMRD/LA/VOL.3/13/130,Ayawaso West,Messrs Rozarre Limited,Metro Roads Department,"Sunday, November 13, 2005","Friday, February 14, 2014","49,612.50",Road Fund,Completed,,,,,,,,,,,,,,,,
644  ,Surfacing of Heaven Gate Road (Ch 0+000-0+150) East Legon AMRD/LA/VOL.3/13/131,Ayawaso West,Messrs Rozarre Limited,Metro Roads Department,"Sunday, November 13, 2005","Friday, February 14, 2014","49,612.50",Road Fund,Completed,,,,,,,,,,,,,,,,
645  ,Surfacing of Kusia Road (Ch 0+000-0+125) East Legon AMRD/LA/VOL.3/13/127,Ayawaso West,Messrs Rozarre Limited,Metro Roads Department,"Sunday, November 13, 2005","Friday, February 14, 2014","49,951.81",Road Fund,Completed,,,,,,,,,,,,,,,,
646  ,Surfacing of Otinshe road (Ch 0+750-0+900) East Legon ARMD/LA/VOL.3/13/PM/133,Ayawaso West,Messrs Rozarre Limited,Metro Roads Department,"Sunday, November 13, 2005","Friday, February 14, 2014","46,835.25",Road Fund,Completed,,,,,,,,,,,,,,,,
647  ,Surfacing of Otinshe road (Ch 0+750-0+600) East Legon ARMD/LA/VOL.3/13/PM/133,Ayawaso West,Messrs Rozarre Limited,Metro Roads Department,"Sunday, November 13, 2005","Friday, February 14, 2014","46,835.25",Road Fund,Completed,,,,,,,,,,,,,,,,
648  ,Surfacing of Otinshe road (Ch 0+450-0+600) East Legon ARMD/LA/VOL.3/13/PM/179,Ayawaso West,Messrs Rozarre Limited,Metro Roads Department,"Sunday, November 13, 2005",3 Months,"49,200.95",Road Fund,Completed,,,,,,,,,,,,,,,,
649  ,Surfacing of Otinshe road (Ch 0+000-0+150) East Legon ARMD/LA/VOL.3/13/PM/137,Ayawaso West,Messrs Rozarre Limited,Metro Roads Department,"Sunday, November 13, 2005","Friday, February 14, 2014","49,541.63",Road Fund,Completed,,,,,,,,,,,,,,,,
650  ,Surfacing works on Naa Atobia Street (Chainage 0+320-0+450) – Ablekuma North  ,Darkuman,Messrs Amby Limited,Metro Roads Department,"Sunday, November 13, 2005","Wednesday, May 14, 2003","41,402.63",Road Fund,Completed,,,,,,,,,,,,,,,,
651  ,Surfacing works on Gbawe Road (Chainage 0+520-650)-Ablekuma Central,Flamingo Area,Messrs intra Grid System / Syndicated Capital Finance,Metro Roads Department,"Thursday, July 14, 2016","Tuesday, December 14, 2004","49,239.82",Road Fund,Completed,,,,,,,,,,,,,,,,
652  ,Surfacing works on censor-N1 link road (Ch 0+120-0+240)-Ayawaso West,West Legon,Messrs Syndicated Capital Engineering,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2016","49,870.88",Road Fund,Completed,,,,,,,,,,,,,,,,
653  ,Surfacing works on censor-N1 link road (Ch 0+240-0+360)-Ayawaso West,West Legon,Messrs Syndicated Capital Engineering,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2016","49,870.88",Road Fund,Completed,,,,,,,,,,,,,,,,
654  ,Surfacing works on Naa Atobia Street (Chainage 0+160-0+320) – Ablekuma North  ,Darkuman,Messrs Amby Limited,Metro Roads Department,"Sunday, November 13, 2005","Wednesday, May 14, 2003","48,210.41",Road Fund,Completed,,,,,,,,,,,,,,,,
655  ,Surfacing works on Naa Atobia Street (Chainage 0+000-0+160) – Ablekuma North  ,Darkuman,Messrs Amby Limited,Metro Roads Department,"Sunday, November 13, 2005","Wednesday, May 14, 2003","48,210.41",Road Fund,Completed,,,,,,,,,,,,,,,,
656  ,Construction of concrete Humps on Asafoatse Ashe Mensah Kanlow and Area Roads,Bubuashie,Messrs Danderk Limited,Metro Roads Department,-,-,"49,359.33",Road Fund,Completed,,,,,,,,,,,,,,,,
657  ,Gravelling works along Abele Street (Chainage 0+000-0+360) Mallam Atta-Ayawaso Central,Accra New Town,Messrs Jeff-Kay Enterprise,Metro Roads Department,"Sunday, March 14, 2004","Saturday, July 14, 2001","45,804.00",Road Fund,Completed,,,,,,,,,,,,,,,,
658  ,Gravelling works along Abele Street (Chainage 0+000-0+330) Mallam Atta-Ayawaso Central,Accra New Town,Messrs Jeff-Kay Enterprise,Metro Roads Department,"Sunday, March 14, 2004","Saturday, July 14, 2001","45,804.00",Road Fund,Completed,,,,,,,,,,,,,,,,
659  ,Gravelling works and culvert approach fill on Kum Hotel Road Okaikoi North,East Legon,Messrs Unicorn Universal Company Limited,Metro Roads Department,"Monday, September 14, 2026","Wednesday, April 15, 2020","29,092.50",Road Fund,Completed,,,,,,,,,,,,,,,,
660  ,Construction of Walkway Along Ring Road Central,Police Headquarters,Al-Zayaad Enterprise,Metro Roads Department,-,-,"49,814.00",Road Fund,Completed,,,,,,,,,,,,,,,,
661  ,"Routine Maintenance Works on Cleland Street, High Street & 28th February Road for the month of June, 2015",Accra,Messrs Zatomwando Ent.,Metro Roads Department,-,-,"4,488.00",Road Fund,Completed,,,,,,,,,,,,,,,,
662  ,"Routine Maintenance Works on Cleland Street, High Street & 28th February Road for the month of July, 2015",Accra,Messrs Zatomwando Ent.,Metro Roads Department,-,-,"4,488.00",Road Fund,Completed,,,,,,,,,,,,,,,,
663  ,Gravelling Work Naa Amanoa Street (Chainage 0+130-0+260 )- Ablekuma South,Zamlama Line,Messrs Quakor Limited,Metro Roads Department,"Monday, September 14, 2026","Tuesday, December 14, 2010","49,330.25",Road Fund,Completed,,,,,,,,,,,,,,,,
664  ,Gravelling Works on Adolley Abla Street (Chainage 0+300-0+450 )- Ablekuma Central,Sukura,Messrs Quakor Limited,Metro Roads Department,"Monday, September 14, 2026","Tuesday, December 14, 2010","49,338.75",Road Fund,Completed,,,,,,,,,,,,,,,,
665  ,Surfacing Nii Abbey Street –Darkuman (Chainage 0+240-0+360) – Ablekuma North,Darkuman,Messrs Saana Adams Company Limited,Metro Roads Department,"Monday, September 14, 2026","Saturday, September 15, 2012","49,965.80",Road Fund,Completed,,,,,,,,,,,,,,,,
666  ,Surfacing Nii Abbey Street –Darkuman (Chainage 0+480-0+600) – Ablekuma North,Darkuman,Messrs Saana Adams Company Limited,Metro Roads Department,"Monday, September 14, 2026","Saturday, September 15, 2012","49,965.80",Road Fund,Completed,,,,,,,,,,,,,,,,
667  ,Surfacing Nii Abbey Street –Darkuman (Chainage 0+360-0+480) – Ablekuma North,Darkuman,Messrs Saana Adams Company Limited,Metro Roads Department,"Monday, September 14, 2026","Saturday, September 15, 2012","49,965.80",Road Fund,Completed,,,,,,,,,,,,,,,,
668  ,Surfacing Nii Abbey Street –Darkuman (Chainage 0+120-0+240) – Ablekuma North,Darkuman,Messrs Saana Adams Company Limited,Metro Roads Department,"Monday, September 14, 2026","Saturday, September 15, 2012","49,965.80",Road Fund,Completed,,,,,,,,,,,,,,,,
669  ,Surfacing Nii Abbey Street –Darkuman (Chainage 0+000-0+120) – Ablekuma North,Darkuman,Messrs Saana Adams Company Limited,Metro Roads Department,"Monday, September 14, 2026","Saturday, September 15, 2012","49,965.80",Road Fund,Completed,,,,,,,,,,,,,,,,
670  ,Gravelling works on Adjiriganno 3rd Link  Road LHS (Chainage 0+000-0+250),East Legon,Messrs Jecsej Ventures Limited,Metro Roads Department,"Monday, September 14, 2026","Tuesday, February 15, 2011","49,973.75",Road Fund,Completed,,,,,,,,,,,,,,,,
671  ,"Routine Maintenance Work Along Abossey Okai Road (RHS) for the Month of May, 2015",Abossey Okai,M/S Dantoz Ent.,Metro Roads Department,"Friday, August 15, 2003","Monday, September 15, 2003","6,795.00",Road Fund,Completed,,,,,,,,,,,,,,,,
672  ,"Routine Maintenance Work Along Abossey Okai Road (RHS) for the Month of June, 2015",Abossey Okai,M/s Dantoz Ent.,Metro Roads Department,"Friday, August 15, 2003","Monday, September 15, 2003","6,795.00",Road Fund,Completed,,,,,,,,,,,,,,,,
673  ,Gravelling of Ebony Crescent (Ch 0+000-0+350),Ayawaso Central,"Messrs Sanfrancisco Carp., Conts & Trading Co. Limited",Metro Roads Department,-,-,"48,941.88",Road Fund,Completed,,,,,,,,,,,,,,,,
674  ,"Routine Maintenance Work On ST’ Mary Storm Drain (Work Done In August, 2014)",Ablekuma South,Messrs Kokaka Company Limted,Metro Roads Department,"Wednesday, August 14, 2019","Saturday, September 14, 2019","9,180.00",Road Fund,Completed,,,,,,,,,,,,,,,,
675  ,Gravelling of Alhaji Avenue (0+000-0+225) Ablekuma Central,Mataheko,Messrs Great Builders Ent / A.N.Lloyd Cont. Wks,Metro Roads Department,-,-,"34,192.40",Road Fund,Completed,,,,,,,,,,,,,,,,
676  ,Gravelling of Trackor Street (0+800-1+200) Ablekuma Central,Opetekwei,Messrs Great Builders Ent / A.N.Lloyd Cont. Wks,Metro Roads Department,-,-,"49,262.00",Road Fund,Completed,,,,,,,,,,,,,,,,
677  ,Gravelling Work on Ebenezer Crescent and Lane Old Mamprobi,Old Mamprobi,Messrs San Amec Global Vent. Ltd,Metro Roads Department,"Monday, April 12, 2027","Thursday, February 15, 2007","46,568.25",Road Fund,Completed,,,,,,,,,,,,,,,,
678  ,Paving work at Laterbiokorshie Phase III (Chainage 0+210-0+230) & Roofing at AMRD Security Office Contract No: AMRD/PM/PQ/VOL.5/2014/188,Ablekuma South,Messrs Perjas Co. Ltd,Metro Roads Department,"Monday, September 14, 2026","Tuesday, March 15, 2005","39,795.50",Road Fund,Completed,,,,,,,,,,,,,,,,
679  ,Gravelling Works Naa Amanoa Street (Chainage 0+000-0+130 )- Ablekuma Central,Ablekuma Central,Messrs Quakor Limited,Metro Roads Department,"Monday, September 14, 2026","Tuesday, December 14, 2010","49,330.25",Road Fund,Completed,,,,,,,,,,,,,,,,
680  ,Gravelling work on Lake Crescent (Ch 0+000-0+260) Ayawaso West Contract No: AMRD/PM/PQ/VOL.7/2014/0031,East Legon,Messrs Unicorn Universal Company Limited,Metro Roads Department,"Friday, December 14, 2018","Sunday, January 15, 2006","49,254.65",Road Fund,Completed,,,,,,,,,,,,,,,,
681  ,Gravelling work on Avenue Link (Chainage 0+000-0+170 ) Ayawaso West Contract No: AMRD/PM/PQ/VOL./2014/0030,East Legon,Messrs Unicorn Universal Company Limited,Metro Roads Department,"Friday, December 14, 2018","Sunday, January 15, 2006","49,254.65",Road Fund,Completed,,,,,,,,,,,,,,,,
682  ,Gravelling Work Naa Amanoa Street (Chainage 0+520-0+575 )- Ablekuma South,Zamlama Line,Messrs Quakor Limited,Metro Roads Department,"Monday, September 14, 2026","Tuesday, December 14, 2010","21,805.55",Road Fund,Completed,,,,,,,,,,,,,,,,
683  ,Gravelling Market Lane – Kum Hotel Area Roads (Chainage 0+715+770),NiiBoi Town,Messrs Glo Multi Company Limited,Metro Roads Department,"Sunday, February 14, 2021","Thursday, November 14, 2013","38,407.50",Road Fund,Completed,,,,,,,,,,,,,,,,
684  ,Gravelling Market Lane – Kum Hotel Area Roads(CH0+770+825),NiiBoi Town,Messrs Glo Multi Company Limited,Metro Roads Department,"Sunday, February 14, 2021","Thursday, November 14, 2013","38,407.50",Road Fund,Completed,,,,,,,,,,,,,,,,
685  ,Gravelling Work on Sika Street (Chainage 0+000-0+150 )- Ablekuma South,Ablekuma south,Messrs Matrix Construction Company Limited,Metro Roads Department,"Thursday, July 14, 2016","Sunday, December 14, 1930","35,267.09",Road Fund,Completed,,,,,,,,,,,,,,,,
686  ,Gravelling Work on King Solomon Street (Chainage 0+180-0+360 )- Ablekuma South,Ablekuma south,Messrs Matrix Construction Company Limited,Metro Roads Department,"Thursday, July 14, 2016","Sunday, December 14, 1930","41,976.50",Road Fund,Completed,,,,,,,,,,,,,,,,
687  ,Gravelling Work Naa Amanoa Street (Chainage 0+260-0+390 )- Ablekuma South,Zamlama Line,Messrs Quakor Limited,Metro Roads Department,"Monday, September 14, 2026","Tuesday, December 14, 2010","49,330.25",Road Fund,Completed,,,,,,,,,,,,,,,,
688  ,Construct of 1.20 pipe culvert at Adjirigannor Link Road (Chainage 0+000-0+010) Ayawaso West,East Legon,Messrs Precision “O” Enterprise,Metro Roads Department,"Friday, December 14, 2018","Monday, April 15, 2019","43,001.90",Road Fund,Completed,,,,,,,,,,,,,,,,
689  ,Gravelling of Nii Awuley Lartey Street (Chainage 0+000-0+400),Ablekuma North,Messrs Cee George Limited,Metro Roads Department,"Monday, April 14, 2003","Saturday, July 14, 2029","47,587.50",Road Fund,Completed,,,,,,,,,,,,,,,,
690  ,Gravelling works along Kwashie Ahiaku Street (Chainage 0+135-0+565),Ablekuma North,Messrs Cee George Limited,Metro Roads Department,"Monday, April 14, 2003","Saturday, July 14, 2029","49,983.50",Road Fund,Completed,,,,,,,,,,,,,,,,
691  ,Gravelling Works  on Twum Kpakpo Road B (Chainage 0+000-0+350 )- Ablekuma South,Ablekuma South,Messrs Matrix Construction Company Limited,Metro Roads Department,"Friday, December 14, 2018","Tuesday, July 15, 2008","41,976.50",Road Fund,Completed,,,,,,,,,,,,,,,,
692  ,Gravelling Works  on Twum Kpakpo Road A (Chainage 0+000-0+100 ) and Road B (Chainage 0+350-0+450) Ablekuma North,Ablekuma North,Messrs Dapore Ventures,Metro Roads Department,"Friday, December 14, 2018","Tuesday, July 15, 2008","33,265.75",Road Fund,Completed,,,,,,,,,,,,,,,,
693  ,Gravelling work on Outer Ring (Chainage 0+000+0+800)-Ablekuma South,Ablekuma South,Messrs Dapore Ventures,Metro Roads Department,"Monday, September 14, 2026","Monday, March 15, 2010","49,553.22",Road Fund,Completed,,,,,,,,,,,,,,,,
694  ,Cutting of Soft on Outer Ring RHS (Chainage 0+000-0+150) Ablekuma South,Ablekuma South,Messrs Dapore Ventures,Metro Roads Department,"Sunday, December 14, 2008","Monday, March 15, 2010","48,787.00",Road Fund,Completed,,,,,,,,,,,,,,,,
695  ,Gravelling work on Outer Ring (Chainage 0+240-0+320)-Ablekuma South,Ablekuma South,Messrs Dapore Ventures,Metro Roads Department,"Monday, September 14, 2026","Monday, March 15, 2010","49,553.22",Road Fund,Completed,,,,,,,,,,,,,,,,
696  ,Gravelling work on Outer Ring (Chainage 0+160+0+240)-Ablekuma South,Ablekuma South,Messrs Dapore Ventures,Metro Roads Department,"Monday, September 14, 2026","Monday, March 15, 2010","49,553.22",Road Fund,Completed,,,,,,,,,,,,,,,,
697  ,Gravelling work on Outer Ring (Chainage 0+320+0+400)-Ablekuma South,Ablekuma South,Messrs Dapore Ventures,Metro Roads Department,"Monday, September 14, 2026","Monday, March 15, 2010","49,553.22",Road Fund,Completed,,,,,,,,,,,,,,,,
698  ,Gravelling Works  Along King  Solomon  Street (Chainage 0+000-0+180 )- Ablekuma South,Ablekuma South,Messrs Matrix Construction Company Limited,Metro Roads Department,"Thursday, July 14, 2016","Sunday, December 14, 1930","41,976.50",Road Fund,Completed,,,,,,,,,,,,,,,,
699  ,Gravelling of 4th Close _ Alajo (Chianage 0+000-0+270),Alajo,Messrs Naazei Ventures,Metro Roads Department,-,-,"42,480.84",Road Fund,Completed,,,,,,,,,,,,,,,,
700  ,Gravelling works on Morocco Street (Chainage 0+000-0+360) Ayawaso West  Contract no: AMRD/PM/PQ/VOL.7/2014/207,East Legon,Messrs Aniya Enterprise,Metro Roads Department,"Friday, December 14, 2018","Thursday, June 14, 2012","49,291.40",Road Fund,Completed,,,,,,,,,,,,,,,,
701  ,Gravelling of Adjirigannor link Road (Chainage 0+000-0300)-Ayawaso West AMRD/PM/PQ/VOL.3/2014/002,East Legon,Messrs Navacon Company Limited,Metro Roads Department,"Monday, April 14, 2014","Thursday, September 14, 2017","49,727.41",Road Fund,Completed,,,,,,,,,,,,,,,,
702  ,Drainage works along Zoe School Road (CH 0+000-0+180) Okaikoi South,Bubuashie,Messrs Gnanibia Enterprise,Metro Roads Department,"Sunday, November 13, 2005","Thursday, February 14, 2019","49,838.24",Road Fund,Completed,,,,,,,,,,,,,,,,
703  ,Gravelling works on Ofori Kpone Street  (Chainage 0+190-0+380),West Legon,Messrs Openya Construction Limited,Metro Roads Department,"Monday, September 14, 2026","Friday, April 15, 2005","49,710.38",Road Fund,Completed,,,,,,,,,,,,,,,,
704  ,Gravelling works on Ofori Kpone Street  (Chainage 0+250-0+335),West Legon,Messrs Openya Construction Limited,Metro Roads Department,"Monday, September 14, 2026","Friday, April 15, 2005","16,838.22",Road Fund,Completed,,,,,,,,,,,,,,,,
705  ,Surfacing works on East Kanda Road-Ayawaso East (0+500-0+750),Kanda,Messrs ENH Engineering Ltd,Metro Roads Department,-,-,"48,645.09",Road Fund,Completed,,,,,,,,,,,,,,,,
706  ,Surfacing works on Samir Street (Chainage 0+000-0+100) Adijiriganor Ayawaso West  Wuogon Contract No: AMRD/PM/PQ/ Vol.7/ 2014/182,East Legon,M/S Unicorn Universal Company Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, August 15, 2009","49,452.00",Road Fund,Completed,,,,,,,,,,,,,,,,
707  ,Gravelling works on Korle Bu Street –Sabon Zongo (chainage 0+060-0+225) and (Chainage 0+262-0+280) Ablekuma Central  ,Sabon Zongo,Messrs Salleydeen Company Limited,Metro Roads Department,"Monday, September 14, 2026","Friday, February 15, 2013","49,945.80",Road Fund,Completed,,,,,,,,,,,,,,,,
708  ,Gravelling works on Lake Road and Link  2 (Chainage 0+000-0+320) Ayawaso West  Wuogon Contract No: AMRD/PM/PQ/ Vol.7/ 2014/214,East Legon,M/S Unicorn Universal Company Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, August 15, 2009","49,347.28",Road Fund,Completed,,,,,,,,,,,,,,,,
709  ,Surfacing works on Lake Road (Chainage 0+160-0+240) Ayawaso West  Wuogon Contract No: AMRD/PM/PQ/ Vol.7/ 2014/186,East Legon,M/S Unicorn Universal Company Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, August 15, 2009","49,815.00",Road Fund,Completed,,,,,,,,,,,,,,,,
710  ,Surfacing works on Lake Road (Chainage 0+240-0+320) Ayawaso West  Wuogon Contract No: AMRD/PM/PQ/ Vol.7/ 2014/187,East Legon,M/S Unicorn Universal Company Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, August 15, 2009","49,815.00",Road Fund,Completed,,,,,,,,,,,,,,,,
711  ,Gravelling works on Lake Road and Link  2 (Chainage 0+000-0+080) Adjiriganor Contract No: AMRD/PM/PQ/ Vol.7/ 2014/184,East Legon,M/S Unicorn Universal Company Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, August 15, 2009","49,815.00",Road Fund,Completed,,,,,,,,,,,,,,,,
712  ,Gravelling works on Lake Road (Chainage 0+000-0+060) Adjiriganor Contract No: AMRD/PM/PQ/ Vol.7/ 2014/184,East Legon,M/S Unicorn Universal Company Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, August 15, 2009","48,771.20",Road Fund,Completed,,,,,,,,,,,,,,,,
713  ,Surfacing works on Lake Road (Chainage 0+080-0+160) Adjiriganor Contract No: AMRD/PM/PQ/ Vol.7/ 2014/185,East Legon,M/S Unicorn Universal Company Limited,Metro Roads Department,"Friday, December 14, 2018","Saturday, August 15, 2009","49,815.00",Road Fund,Completed,,,,,,,,,,,,,,,,
714  ,Paving of sections  of Nima market  phase IV,Nima,Messrs Still Waters Enterprise Limited,Metro Roads Department,"Friday, December 14, 2018","Tuesday, April 15, 2014","49,843.70",Road Fund,Completed,,,,,,,,,,,,,,,,
715  ,Paving  of sections of Nima  market phase II,Nima,Messrs Still Waters Enterprise Limited,Metro Roads Department,"Tuesday, December 14, 1948","Tuesday, April 15, 2014","49,843.70",Road Fund,Completed,,,,,,,,,,,,,,,,
716  ,Paving of sections of Nima  market phase I,Nima,Messrs Still Waters Enterprise  Limited,Metro Roads Department,"Friday, December 14, 2018","Tuesday, April 15, 2014","49,843.70",Road Fund,Completed,,,,,,,,,,,,,,,,
717  ,Paving of sections of Nima  market  Phase III,Nima,Messrs Still  Waters Enterprise Limited,Metro Roads Department,"Friday, December 14, 2018","Tuesday, April 15, 2014","49,843.70",Road Fund,Completed,,,,,,,,,,,,,,,,
718  ,Paving of sections of Nima Market Phase V,Nima,Messrs Still Waters Enterprise Limited,Metro Roads Department,"Friday, December 14, 2018","Tuesday, April 15, 2014","29,500.90",Road Fund,Completed,,,,,,,,,,,,,,,,
